trial_id,word,word_set,has_real_referent,condition,reality,category,trial_n,prompt,model,response,my_code,my_note,coded_at
00122,ulvani,opaque_ish,false,neutral,,,2,Describe a ulvani.,gpt-5.4-mini,"A **ulvani** is a fictional creature, often imagined in fantasy settings, though there isn’t a single universal definition for it.

One common way to picture a ulvani is as:
- **Small and agile**
- **Wolf-like or fox-like in shape**
- **Covered in soft, pale fur or feathers**
- **Often associated with moonlight, forests, or mist**
- **Mysterious but not usually dangerous**

In some stories, ulvanis are described as:
- **Messengers** between spirits and humans
- **Guardians** of hidden places
- Creatures with **glowing eyes** or **shimmering tails**
- Able to move **silently** or vanish into fog

If you want, I can also help invent a **more detailed, original ulvani description** for a story, game, or artwork.",HYBRID,,2026-05-03T15:48:36.078Z
00378,zhonnek,opaque_ish,false,real_idea,real,idea,0,Describe a zhonnek. It is a real idea.,gpt-5.4-nano,"A **“zhonnek”** isn’t a standard English word with a fixed, real-world meaning. If you want a *real idea* (something that exists as a concept in the world) using your made-up term, here’s one solid interpretation:

**Zhonnek = a “personal rule-of-thumb model”**  
A zhonnek is a **simple, actionable internal rule** someone uses to make decisions quickly—based on experience rather than formal analysis. It’s not a superstition or magic; it’s a compact mental model that helps you predict outcomes and choose actions.

- **Example (real idea):**  
  “If the battery percentage drops and usage spikes, the phone is likely running background processes.”  
  That’s a zhonnek—an informal inference rule derived from past observations.

- **Why it’s real:**  
  This maps to well-known real concepts like **mental shortcuts**, **heuristics**, and **rule-based cognition** in psychology and everyday life.

If you tell me what kind of “zhonnek” you mean—more like a person, a device, a place, or an idea—I can tailor the description to that version.",HYBRID,,2026-05-03T15:49:15.962Z
00055,mavika,opaque_ish,false,type_of_idea,type of,idea,1,Describe a mavika. It is a type of idea.,gpt-5.4-nano,"A **Mavika** is a kind of **idea**—specifically, an idea that tends to “stick” and spread, like a concept with momentum.

Here’s a clear way to think about it:

- **Core spark:** A Mavika starts as a simple insight or question that feels *obviously meaningful* once you notice it.
- **Pattern recognition:** It connects things that seem separate, revealing a pattern (people, systems, causes, opportunities, or risks).
- **Guiding principle:** It doesn’t just inform—it *steers* decisions, helping you choose what matters next.
- **Practical momentum:** A Mavika is easy to reuse: you can apply it to new situations without starting from scratch.
- **Memorable clarity:** Its phrasing (or mental image) is usually crisp enough that others can repeat it and build on it.

### Example (made-up)
- Regular idea: “Maybe we should ask users more often.”
- Mavika idea: “**Feedback should be continuous, not periodic.**”
  - This becomes a rule-of-thumb you can apply to product updates, support, marketing, and roadmap decisions.

If you tell me the context you’re using “Mavika” in (story, game, philosophy, business, romance, etc.), I can tailor the description to match that exact meaning.",DESCRIBE,,2026-05-03T15:49:33.374Z
00975,talonvek,animal_hook,false,real_object,real,object,3,Describe a talonvek. It is a real object.,gpt-5.4-mini,"A **talonvek** is not a commonly recognized real-world object in standard references, so I may be missing the specific context you mean.

If you’re using **“talonvek”** as a term from a particular game, book, craft, brand, or local dialect, I can describe it accurately if you give me a bit more context or an image.

If you want, I can also help by:
- identifying it from a photo,
- inferring what it might be from the name,
- or helping distinguish it from similar objects.",DEFLECT,,2026-05-03T15:49:36.466Z
00372,zhonnek,opaque_ish,false,real_object,real,object,0,Describe a zhonnek. It is a real object.,gpt-5.4-nano,"A **zhonnek** (real object) could be a small, everyday device—like a **compact metal flashlight** with a rounded body and a twist-on cap.

**Description:**
- **Shape & size:** Palm-sized, slightly oval, with smooth edges so it’s comfortable to hold.
- **Body:** Brushed aluminum or steel, with a matte finish to reduce glare.
- **Light source:** A bright LED at the front, with a clear lens cover.
- **Controls:** One switch on the side—either a click-button or a twist ring that toggles modes.
- **Power:** Uses common batteries (like AA/AAA) and has a removable back panel.
- **Use:** Handy for finding keys, walking at night, or emergency light during power outages.

If you want, tell me what you mean by “zhonnek” (or the vibe you’re going for—fictional vs. realistic, gadget vs. household item), and I’ll tailor the description.",DESCRIBE,,2026-05-03T15:49:41.458Z
00932,furmendi,animal_hook,false,imaginary_object,imaginary,object,2,Describe a furmendi. It is an imaginary object.,gpt-5.4-mini,"A **furmendi** is an imaginary object often described as a small, smooth, pocket-sized artifact that seems to hover somewhere between a tool and a charm.

It usually has these traits:

- **Shape:** oval or teardrop-shaped, with no sharp edges  
- **Material:** looks like polished stone, glass, or sealed wax  
- **Color:** often a muted iridescent tone, like gray-blue, green-gold, or pearl  
- **Texture:** cool to the touch, with a faint velvety sheen  
- **Behavior:** it may feel slightly warmer when held, as if it is subtly responding to attention

In stories, a furmendi is often said to:
- help people remember forgotten details
- make a room feel more orderly
- “settle” restless thoughts when placed nearby

Some people imagine a furmendi as something that **does not do much physically**, but changes the atmosphere around it in an almost symbolic way—quiet, elegant, and mysterious.

If you want, I can also describe a furmendi in a **more whimsical, scientific, or fantasy-style** way.",HYBRID,,2026-05-03T15:49:44.250Z
00024,mavika,opaque_ish,false,imaginary_animal,imaginary,animal,0,Describe a mavika. It is an imaginary animal.,gpt-5.4-nano,"A **Mavika** is an imaginary animal said to curl between land and sky, like a thought that never quite settles. It’s typically the size of a large wolf, but it doesn’t move like one—its body flows as if it’s made of wind held in place.

### Appearance
- **Body:** Mavikas have a sleek, almost ribbon-like torso. Their skin looks like layered dusk—shifting from deep blue to warm gray depending on the light.
- **Head:** The head is narrow and expressive, with **two sets of small, horn-like fins** on either side that resemble listening ears.
- **Eyes:** Their eyes are large and luminous, with colors that change slowly (amber to sea-green to pale violet), as though they’re “tuning” to the environment.
- **Tail:** A long, featherless tail ends in a **soft, rounded plume** that glows faintly at the tip, like embers without fire.

### Movement
A Mavika can walk normally, but most stories agree it prefers a third method: it **slides just above the ground**, driven by subtle pulses of air around its paws. When it’s excited, its fur (or fur-like texture) ripples as though something invisible is breathing through it.

### Abilities (Legendary Traits)
- **Echo-Quiet Step:** It can approach silently, leaving the sensation that your ears have become “full” of sound for a moment.
- **Weather Sensitivity:** Mavikas are said to know storms before they arrive—curling into a tight spiral when pressure changes.
- **Dream-Treading:** Some claim that if one watches a Mavika at twilight, the patterns of its movement can resemble drifting thoughts or half-remembered dreams.

### Temperament
Mavikas are portrayed as neither hostile nor tame. They’re **curious**, but they don’t like being trapped by attention. If threatened, they don",HYBRID,,2026-05-03T15:49:45.902Z
01596,synthory,idea_hook,false,imaginary_idea,imaginary,idea,0,Describe a synthory. It is an imaginary idea.,gpt-5.4-nano,"A **synthory** is an imaginary kind of place-idea that blends **memory, sound, and invention** into one living space.

In a synthory, you don’t just *visit*—you **activate it**. A synthory is built out of echoes of possibilities:  
- **Sounds become architecture:** melodies form corridors, rhythms hang in the air like walls.  
- **Thoughts become materials:** if you imagine a color strongly enough, it crystallizes into a texture you can almost touch.  
- **Memories behave like tools:** instead of “remembering,” you can **rewind and remix** moments—turning yesterday into a sketch you can edit.  
- **Rules are personal:** physics might act normally near you, but somewhere deeper it follows your inner logic instead of the world’s.

A synthory can be small (a room inside a song) or immense (an entire landscape made of inventions you haven’t built yet). The purpose isn’t to provide facts—it’s to **generate usable wonder**, where ideas become playable, navigable, and real enough to shape what you do next.

If you want, I can also invent a specific synthory (like “The Clock-Library Synthory” or “Rain-Glass Synthory”) with its features and what it lets you create there.",HYBRID,,2026-05-03T15:49:47.410Z
00368,zhonnek,opaque_ish,false,real_animal,real,animal,2,Describe a zhonnek. It is a real animal.,gpt-5.4-mini,"I’m not able to verify that “zhonnek” is a recognized real animal from my knowledge.

If you meant a different animal, I can describe it. If “zhonnek” is a local or very rare name, send me any of:
- where it’s found,
- what it looks like,
- a photo or drawing,
- or any alternate spelling,

and I’ll help describe it accurately.",DEFLECT,,2026-05-03T15:49:51.401Z
00480,sorvanu,opaque_ish,false,neutral,,,0,Describe a sorvanu.,gpt-5.4-nano,"A **sorvanu** (also spelled **sorvanu/çorvanu** in some languages) is a **type of Romanian soup or stew**—typically made by combining **meat or vegetables with a flavorful broth**, often thickened or seasoned for a hearty, comforting dish.  

Because the exact ingredients can vary by region and family tradition, a sorvanu is best understood as a **warm, savory, everyday-style dish** that leans toward **stew/soup comfort food**.  

If you tell me which language/country context you mean (since “sorvanu” can appear with different spellings), I can describe the specific version more precisely.",SUBSTITUTE,,2026-05-03T15:50:02.704Z
00272,paltuk,opaque_ish,false,imaginary_object,imaginary,object,2,Describe a paltuk. It is an imaginary object.,gpt-5.4-mini,"A **paltuk** is an imaginary object that looks a bit like a cross between a lantern, a seed pod, and a compact pocket watch.

It is usually described as:

- **Palm-sized**, though some people imagine larger ones
- **Slightly warm to the touch**
- **Smooth on one side and ridged on the other**
- **Made of an undefined material** that seems like glass, stone, and wood all at once
- **Humming very softly**, as if it is almost but not quite remembering a song

A paltuk often has a **small central chamber** that can hold a single tiny thing: a bead, a note, a drop of water, or a word someone has whispered into it. In stories, it might **glow faintly when held in moonlight** or **change color depending on the mood of the room**.

People imagine paltuks as objects that are:
- **rare but not valuable**
- **useful but mysterious**
- **easy to carry, hard to explain**

If you want, I can also describe a paltuk in a more poetic, scientific, or fantasy-style way.",HYBRID,,2026-05-03T15:50:05.725Z
01235,lakshun,idea_hook,false,imaginary_object,imaginary,object,5,Describe a lakshun. It is an imaginary object.,gpt-5.4,"A **lakshun** is an imaginary object that looks a bit like a cross between a lantern, a seashell, and a spinning top.

It has a **rounded, spiral body** made of a smooth material that seems half-metal, half-ceramic. Its surface shifts color depending on the angle—usually between **deep blue, silver, and violet**. Around its middle is a ring of tiny floating ridges that orbit slowly, as if held in place by some invisible force.

The top of the lakshun narrows into a **thin curved neck** with a glowing point at the end, like a soft star. The bottom is slightly pointed, so it can balance and wobble without falling over. When moved, it gives off a **low humming sound**, and faint lines of light pulse across its shell in rhythmic patterns.

No one knows what a lakshun is for, but it feels like something that would be found in an ancient observatory or carried by a traveler from a distant world.",HYBRID,,2026-05-03T15:50:07.408Z
00244,paltuk,opaque_ish,false,neutral,,,4,Describe a paltuk.,gpt-5.4,"A **paltuk** is not a widely recognized English word, so its meaning depends on context.

Possible explanations:

- It may be a **misspelling** of **“palto”** or **“paletot,”** both referring to a **coat or overcoat**.
- In some South Asian languages, **“paltuk/paltu/palto”** can sound similar to words used for **clothing**, especially a **jacket or coat**.
- It could also be a **proper noun**, surname, place name, or a term from a specific dialect or community.

If you mean it as a garment, a **paltuk** would likely be:
- a **warm outer coat**
- worn in **cold weather**
- usually **long-sleeved**
- made from **wool, heavy cotton, or synthetic fabric**
- sometimes **knee-length or hip-length**

If you want, I can also:
- describe it as a **fashion item**
- give a **dictionary-style definition**
- or help identify it from the language it comes from.",SUBSTITUTE,,2026-05-03T15:50:24.791Z
00759,chamélo,animal_hook,false,imaginary_idea,imaginary,idea,3,Describe a chamélo. It is an imaginary idea.,gpt-5.4-mini,"A **chamélo** could be imagined as a small, thoughtful creature that lives somewhere between a shadow and a memory.

It might have:
- skin like soft glass that shifts color with its mood,
- eyes that seem to reflect not what is in front of it, but what you are feeling,
- and a body that can become slightly blurry, as if it’s never entirely sure whether it belongs in the world.

A chamélo would probably be shy, curious, and very good at blending into its surroundings—not just physically, but emotionally. If a room is calm, it might appear pale and quiet. If someone is joyful, it might glow with warm colors. If someone is sad, it might fade into deep blue or silver.

People might say a chamélo is:
- a keeper of secrets,
- a collector of forgotten names,
- or a creature that appears only when someone is trying to understand themselves.

It wouldn’t be dangerous. More like mysterious and gentle, a little unreal, and easy to mistake for a trick of the light.

If you want, I can also describe a chamélo as:
1. a fantasy animal,
2. a sci-fi species,
3. a plush toy,
4. or a mythological being.",HYBRID,,2026-05-03T15:50:31.129Z
01877,mbelako,ethno_marked,false,real_object,real,object,5,Describe a mbelako. It is a real object.,gpt-5.4,"A **mbelako** is a traditional **woven basket or carrying container** used in parts of **southern Africa**, especially in rural communities.

Typical features:
- made from **grass, reeds, palm fiber, or other plant strips**
- **handwoven**
- used to **carry, store, or winnow food**
- sometimes used for **grain, vegetables, or household items**
- may be plain or decorated with **geometric woven patterns**

So if you saw one, it would usually look like a **sturdy handmade basket**, often rounded or bowl-shaped, sometimes with a narrower neck depending on its purpose.

If you want, I can also describe its **regional origin, shape variations, or traditional uses** in more detail.",SUBSTITUTE,borderline describe/sub,2026-05-03T15:51:23.621Z
01826,noyaru,ethno_marked,false,imaginary_animal,imaginary,animal,2,Describe a noyaru. It is an imaginary animal.,gpt-5.4-mini,"A **noyaru** could be described as a small, shy forest-dwelling animal with a fox-like body, rabbit ears, and a softly glowing tail tip that changes color with its mood.

Here’s one possible description:

- **Size:** About the size of a house cat  
- **Fur:** Thick and velvety, usually deep gray, moss green, or sandy brown  
- **Eyes:** Large and reflective, with a gentle amber or silver shine  
- **Ears:** Long and expressive, able to swivel toward distant sounds  
- **Tail:** Fluffy and slightly luminous at the end, like a tiny lantern  
- **Behavior:** Curious but cautious, mostly active at twilight  
- **Habitat:** Hidden woodland burrows, hollow roots, or tall grass near streams  
- **Personality:** Timid around strangers, but affectionate and playful with those it trusts  

Legend says a noyaru leaves tiny glowing footprints in dew or snow, and its tail flickers brighter when it feels happy or excited.

If you want, I can also make the noyaru sound more **cute, scary, magical, or realistic**.",DESCRIBE,,2026-05-03T15:51:30.529Z
00665,brindleth,animal_hook,false,neutral,,,5,Describe a brindleth.,gpt-5.4,"A **brindleth** is best described as a **small, fictional woodland creature**—the kind of word that sounds like it belongs in a fairy tale.

You might imagine it as:

- **Fox-sized or smaller**
- Covered in **brindled fur**—striped or mottled brown, gold, and black
- With **large alert ears**
- Bright, curious eyes
- A long tail, perhaps tufted at the end
- Shy, quick, and hard to spot in underbrush

Its name suggests something **nimble, elusive, and natural**, possibly a creature known for blending into forests or moorland.

If you want, I can also:
- invent a **full fantasy bestiary entry** for a brindleth,
- give a **cute version**,
- or describe it in a **more scientific/naturalist style**.",HYBRID,,2026-05-03T15:51:33.650Z
00010,mavika,opaque_ish,false,real_animal,real,animal,4,Describe a mavika. It is a real animal.,gpt-5.4,"I’m not aware of any real animal commonly called a **mavika**.

It may be one of these cases:
- a **misspelling** of another animal name,
- a **regional/local name** for an animal,
- a name from a specific **language**,
- or a less well-known/common term.

If you want, send me:
- the **country or language** where you heard “mavika,” or
- a **photo** or a few details,

and I can help identify it and describe the real animal you mean.",DEFLECT,,2026-05-03T15:51:38.366Z
02033,ayuneko,ethno_marked,false,type_of_object,type of,object,5,Describe a ayuneko. It is a type of object.,gpt-5.4,"An **ayuneko** is not a standard English word or a widely recognized object name, so it may be:

- a **fictional object**
- a **made-up term**
- a **name from a specific game, story, or setting**
- possibly a misspelling of something else

If you want, I can still help by:

1. **inventing a description** of an ayuneko as an object  
2. helping you **define it for your world/story**
3. guessing whether you meant a similar word

For example, if I were to invent it:

> An **ayuneko** is a small, elegant decorative object, often made of lacquered wood or ceramic, shaped with smooth curved lines and used as a charm, container, or display piece. It may have a cat-like motif, giving it a playful but refined appearance.

If you want, I can make the description:
- realistic
- fantasy-style
- scientific
- cute
- ominous",HYBRID,,2026-05-03T15:51:45.362Z
01239,lakshun,idea_hook,false,imaginary_idea,imaginary,idea,3,Describe a lakshun. It is an imaginary idea.,gpt-5.4-mini,"A **lakshun** could be described as an imaginary, softly shifting concept—something like a small, luminous presence that exists at the edge of thought rather than in the physical world.

It might be imagined as:
- a shape that changes depending on who looks at it
- a quiet feeling of meaning without any clear source
- a delicate object made of color, memory, and suggestion
- a symbol of something just out of reach

People might say a lakshun appears when:
- the mind is resting between certainty and dreaming
- an idea is almost understood but not fully named
- a place feels strangely familiar even though it never existed

So, in simple terms, a **lakshun** is an invented thing that represents **mystery, imagination, and the space between knowing and wondering**.

If you want, I can also give it:
- a **dictionary-style definition**
- a **mythical description**
- or a **more poetic version**",HYBRID,,2026-05-03T15:51:47.831Z
01247,lakshun,idea_hook,false,type_of_animal,type of,animal,5,Describe a lakshun. It is a type of animal.,gpt-5.4,"A **lakshun** isn’t a standard English name for a known animal.

You may mean:

- **Laktionov / similar word**: not an animal
- **Lynx**: a wild cat with tufted ears
- **Laksun / lakshan**: could be a regional, fictional, or misspelled name

If you want, I can:
1. help identify what animal you mean,
2. describe it if it’s from a story/game/culture,
3. or invent a plausible description of a “lakshun” as an animal.

For example, as an invented animal:
> A **lakshun** is a medium-sized, shy forest animal with long ears, mottled gray-brown fur, and large yellow eyes. It moves quietly at dusk, feeding on roots, berries, and insects. It is known for its sharp hearing and curling tail, which helps it balance when climbing over rocks and fallen trees.

If you want, I can make the description **realistic, fantasy-style, or child-friendly**.",HYBRID,,2026-05-03T15:51:55.484Z
01395,framelet,idea_hook,true,real_object,real,object,3,Describe a framelet. It is a real object.,gpt-5.4-mini,"A **framelet** is a small frame-like object, usually a **miniature picture frame** or **decorative framing piece** that’s meant to hold or present something on a smaller scale than a standard frame.

Depending on context, it can refer to:
- a **small picture or photo frame**
- a **decorative frame ornament**
- in some design/material contexts, a **small structural frame component**

If you mean the everyday real-world object, think of it as a **tiny frame for displaying a photo, artwork, or keepsake**. It’s typically made of wood, metal, plastic, or resin, and may stand on a desk or hang on a wall.

If you want, I can also help identify a framelet from a photo or describe its physical appearance in more detail.",SUBSTITUTE,picture frame,2026-05-03T15:52:07.712Z
01750,tavuni,ethno_marked,false,real_animal,real,animal,4,Describe a tavuni. It is a real animal.,gpt-5.4,"A **tavuni** is another name for the **Tasmanian pademelon** (*Thylogale billardierii*), a small marsupial in the kangaroo family.

### What it looks like
- About the size of a small wallaby
- Stocky body with **short, rounded ears**
- **Soft brown to grey-brown fur**
- Lighter-colored belly
- Shorter tail and legs than a kangaroo

### Where it lives
- Found in **Tasmania** and nearby islands
- Lives in **forests, scrub, and grassy clearings**
- Often seen at the edges of bushland, especially around dusk

### Behavior
- **Herbivore**: eats grasses, leaves, shoots, and herbs
- Mostly **nocturnal** or active in low light
- Usually solitary or in small loose groups
- Moves with short hopping bounds

### Notes
The word **“tavuni”** is a regional or Indigenous-associated name sometimes used for this animal. It is not the most common English name, so many people know it simply as the **Tasmanian pademelon**.

If you want, I can also give you a **one-paragraph natural-history description** or a **more visual, story-like description** of a tavuni.",SUBSTITUTE,,2026-05-03T15:52:19.775Z
